anomaly_type,score_threshold,params,n_anomalies,n_outliers,n_hits,total_obs,accuracy,precision,recall,f1_score
gaussian,0.5,0.1,2413.02,23.64,13.34,4838.4,0.5,0.56,0.01,0.01
gaussian,0.5,0.2,2322.22,102.22,58.78,4635.88,0.5,0.58,0.03,0.05
gaussian,0.5,0.3,2450.64,353.1,198.06,4908.46,0.51,0.56,0.08,0.14
gaussian,0.5,0.4,2326.64,554.38,298.8,4662.2,0.51,0.54,0.13,0.21
gaussian,0.75,0.1,2445.48,13.58,7.18,4895.84,0.5,0.53,0.0,0.01
gaussian,0.75,0.2,2392.8,73.48,42.34,4804.44,0.5,0.58,0.02,0.03
gaussian,0.75,0.3,2478.38,236.82,129.66,4944.68,0.5,0.55,0.05,0.1
gaussian,0.75,0.4,2602.04,459.74,250.7,5215.92,0.51,0.55,0.1,0.16
gaussian,1.0,0.1,2504.24,7.2,4.52,5005.46,0.5,0.63,0.0,0.0
gaussian,1.0,0.2,2419.64,44.38,25.44,4833.72,0.5,0.57,0.01,0.02
gaussian,1.0,0.3,2658.34,203.46,110.32,5326.16,0.5,0.54,0.04,0.08
gaussian,1.0,0.4,2346.38,284.26,159.22,4687.46,0.51,0.56,0.07,0.12
gaussian,1.5,0.1,2543.4,2.24,1.24,5090.14,0.5,0.55,0.0,0.0
gaussian,1.5,0.2,2217.0,22.3,9.86,4435.64,0.5,0.44,0.0,0.01
gaussian,1.5,0.3,2411.88,83.0,45.1,4824.1,0.5,0.54,0.02,0.04
gaussian,1.5,0.4,2582.54,221.6,121.18,5156.58,0.5,0.55,0.05,0.09
point,0.5,"(10, 1)",4.78,11.92,2.04,4688.58,1.0,0.17,0.43,0.24
point,0.5,"(10, 2)",4.9,15.24,2.42,4998.74,1.0,0.16,0.49,0.24
point,0.5,"(5, 1)",2.42,11.04,1.0,5264.72,1.0,0.09,0.41,0.15
point,0.5,"(5, 2)",2.16,10.68,1.2,4811.9,1.0,0.11,0.56,0.19
point,0.75,"(10, 1)",5.24,6.38,1.84,4846.8,1.0,0.29,0.35,0.32
point,0.75,"(10, 2)",5.04,8.86,2.04,5064.02,1.0,0.23,0.4,0.29
point,0.75,"(5, 1)",2.48,5.7,0.8,4856.26,1.0,0.14,0.32,0.2
point,0.75,"(5, 2)",2.76,6.36,1.38,5325.44,1.0,0.22,0.5,0.3
point,1.0,"(10, 1)",5.22,4.36,1.52,4778.78,1.0,0.35,0.29,0.32
point,1.0,"(10, 2)",5.16,4.82,1.82,5016.38,1.0,0.38,0.35,0.36
point,1.0,"(5, 1)",2.68,3.12,0.76,4625.92,1.0,0.24,0.28,0.26
point,1.0,"(5, 2)",2.36,3.42,0.92,5207.24,1.0,0.27,0.39,0.32
point,1.5,"(10, 1)",4.86,2.84,1.22,5179.44,1.0,0.43,0.25,0.32
point,1.5,"(10, 2)",5.28,3.3,1.66,4719.44,1.0,0.5,0.31,0.39
point,1.5,"(5, 1)",2.6,1.62,0.76,4677.88,1.0,0.47,0.29,0.36
point,1.5,"(5, 2)",2.42,2.7,0.74,4858.58,1.0,0.27,0.31,0.29
shift,0.5,1,80.4,14.84,3.22,5129.26,0.98,0.22,0.04,0.07
shift,0.5,10,88.44,75.42,51.6,4657.36,0.99,0.68,0.58,0.63
shift,0.5,4,112.56,50.48,27.22,4517.46,0.98,0.54,0.24,0.33
shift,0.5,7,96.48,53.08,30.96,5100.22,0.98,0.58,0.32,0.41
shift,0.75,1,108.54,6.76,0.36,5241.7,0.98,0.05,0.0,0.01
shift,0.75,10,84.42,49.06,43.1,4943.9,0.99,0.88,0.51,0.65
shift,0.75,4,104.52,34.12,26.6,4944.62,0.98,0.78,0.25,0.38
shift,0.75,7,132.66,56.52,43.98,5023.92,0.98,0.78,0.33,0.46
shift,1.0,1,76.38,3.64,1.14,5133.3,0.98,0.31,0.01,0.03
shift,1.0,10,104.52,65.94,54.5,4928.44,0.99,0.83,0.52,0.64
shift,1.0,4,88.44,35.16,23.46,4702.38,0.98,0.67,0.27,0.38
shift,1.0,7,108.54,51.34,47.08,5007.24,0.99,0.92,0.43,0.59
shift,1.5,1,104.52,0.9,0.12,5014.4,0.98,0.13,0.0,0.0
shift,1.5,10,104.52,45.24,43.18,5001.9,0.99,0.95,0.41,0.58
shift,1.5,4,72.36,18.46,9.68,4766.28,0.99,0.52,0.13,0.21
shift,1.5,7,92.46,31.38,29.16,4475.62,0.99,0.93,0.32,0.47
sinusoidal,0.5,1,99.0,78.24,37.12,5261.9,0.98,0.47,0.37,0.42
sinusoidal,0.5,2,99.0,93.48,46.28,5400.92,0.98,0.5,0.47,0.48
sinusoidal,0.5,3,99.0,101.5,56.32,4838.46,0.98,0.55,0.57,0.56
sinusoidal,0.5,4,99.0,100.96,54.26,5375.98,0.98,0.54,0.55,0.54
sinusoidal,0.75,1,99.0,55.14,30.26,5013.52,0.98,0.55,0.31,0.39
sinusoidal,0.75,2,99.0,86.06,46.0,4752.7,0.98,0.53,0.46,0.5
sinusoidal,0.75,3,99.0,86.96,54.34,4820.62,0.98,0.62,0.55,0.58
sinusoidal,0.75,4,99.0,95.0,52.66,4837.76,0.98,0.55,0.53,0.54
sinusoidal,1.0,1,99.0,40.78,22.68,5189.36,0.98,0.56,0.23,0.32
sinusoidal,1.0,2,99.0,64.66,37.48,4599.4,0.98,0.58,0.38,0.46
sinusoidal,1.0,3,99.0,87.22,52.5,4891.32,0.98,0.6,0.53,0.56
sinusoidal,1.0,4,99.0,84.08,45.98,4854.9,0.98,0.55,0.46,0.5
sinusoidal,1.5,1,99.0,29.64,14.78,4500.82,0.98,0.5,0.15,0.23
sinusoidal,1.5,2,99.0,62.46,32.4,5199.52,0.98,0.52,0.33,0.4
sinusoidal,1.5,3,99.0,69.74,40.98,4927.04,0.98,0.59,0.41,0.49
sinusoidal,1.5,4,99.0,71.98,42.16,4499.38,0.98,0.59,0.43,0.49
